County,Population,Year
Bronx,1373659,2007
Kings,2528050,2007
New York,1620867,2007
Queens,2270338,2007
Richmond,481613,2007
Albany,299307,2007
Allegany,49637,2007
Broome,195973,2007
Cattaraugus,80087,2007
Cayuga,80066,2007
Chautauqua,133945,2007
Chemung,88015,2007
Chenango,51207,2007
Clinton,82215,2007
Columbia,62363,2007
Cortland,48369,2007
Delaware,46286,2007
Dutchess,292746,2007
Erie,913338,2007
Essex,38119,2007
Franklin,50449,2007
Fulton,55114,2007
Genesee,58122,2007
Greene,49246,2007
Hamilton,5075,2007
Herkimer,62558,2007
Jefferson,117201,2007
Lewis,26472,2007
Livingston,63196,2007
Madison,69829,2007
Monroe,729681,2007
Montgomery,48695,2007
Nassau,1306533,2007
Niagara,214845,2007
Oneida,232304,2007
Onondaga,454010,2007
Ontario,103956,2007
Orange,377169,2007
Orleans,42371,2007
Oswego,121454,2007
Otsego,62397,2007
Putnam,99489,2007
Rensselaer,155318,2007
Rockland,296483,2007
St Lawrence,109809,2007
Saratoga,215852,2007
Schenectady,150818,2007
Schoharie,32063,2007
Schuyler,19027,2007
Seneca,34228,2007
Steuben,96874,2007
Suffolk,1453229,2007
Sullivan,76303,2007
Tioga,50453,2007
Tompkins,101055,2007
Ulster,181860,2007
Warren,66143,2007
Washington,62743,2007
Wayne,91291,2007
Westchester,951325,2007
Wyoming,41932,2007
Yates,24557,2007
Bronx,1391903,2008
Kings,2556598,2008
New York,1634795,2008
Queens,2293007,2008
Richmond,487407,2008
Albany,298130,2008
Allegany,49649,2008
Broome,195018,2008
Cattaraugus,79688,2008
Cayuga,79823,2008
Chautauqua,133789,2008
Chemung,87813,2008
Chenango,50898,2008
Clinton,81947,2008
Columbia,62006,2008
Cortland,48302,2008
Delaware,46085,2008
Dutchess,292878,2008
Erie,909845,2008
Essex,37826,2008
Franklin,50521,2008
Fulton,55024,2008
Genesee,57821,2008
Greene,48992,2008
Hamilton,5021,2008
Herkimer,62200,2008
Jefferson,118046,2008
Lewis,26176,2008
Livingston,63154,2008
Madison,69766,2008
Monroe,732762,2008
Montgomery,48679,2008
Nassau,1351625,2008
Niagara,214464,2008
Oneida,231590,2008
Onondaga,452633,2008
Ontario,104475,2008
Orange,379647,2008
Orleans,42135,2008
Oswego,121395,2008
Otsego,61962,2008
Putnam,99244,2008
Rensselaer,155261,2008
Rockland,298545,2008
St Lawrence,109701,2008
Saratoga,217191,2008
Schenectady,151427,2008
Schoharie,31910,2008
Schuyler,18888,2008
Seneca,34086,2008
Steuben,96573,2008
Suffolk,1512224,2008
Sullivan,76189,2008
Tioga,50171,2008
Tompkins,101136,2008
Ulster,181670,2008
Warren,65971,2008
Washington,62804,2008
Wayne,91564,2008
Westchester,953943,2008
Wyoming,41652,2008
Yates,24652,2008
Bronx,1397287,2009
Kings,2567098,2009
New York,1629054,2009
Queens,2306712,2009
Richmond,491730,2009
Albany,298284,2009
Allegany,49157,2009
Broome,194630,2009
Cattaraugus,79689,2009
Cayuga,79526,2009
Chautauqua,133503,2009
Chemung,88331,2009
Chenango,50620,2009
Clinton,81618,2009
Columbia,61618,2009
Cortland,47996,2009
Delaware,45514,2009
Dutchess,293562,2009
Erie,909247,2009
Essex,37686,2009
Franklin,50274,2009
Fulton,55053,2009
Genesee,57868,2009
Greene,48947,2009
Hamilton,4923,2009
Herkimer,62236,2009
Jefferson,118719,2009
Lewis,26157,2009
Livingston,62871,2009
Madison,69954,2009
Monroe,733703,2009
Montgomery,48616,2009
Nassau,1357429,2009
Niagara,214557,2009
Oneida,231044,2009
Onondaga,454753,2009
Ontario,105650,2009
Orange,383532,2009
Orleans,42051,2009
Oswego,121377,2009
Otsego,61602,2009
Putnam,99265,2009
Rensselaer,155541,2009
Rockland,300173,2009
St Lawrence,109715,2009
Saratoga,220069,2009
Schenectady,152169,2009
Schoharie,31529,2009
Schuyler,18720,2009
Seneca,34049,2009
Steuben,96552,2009
Suffolk,1518475,2009
Sullivan,75828,2009
Tioga,50064,2009
Tompkins,101779,2009
Ulster,181440,2009
Warren,66021,2009
Washington,62753,2009
Wayne,91291,2009
Westchester,955962,2009
Wyoming,41398,2009
Yates,24482,2009
Bronx,1385108,2010
Kings,2504700,2010
New York,1585873,2010
Queens,2230722,2010
Richmond,468730,2010
Albany,304204,2010
Allegany,48946,2010
Broome,200600,2010
Cattaraugus,80317,2010
Cayuga,80026,2010
Chautauqua,134905,2010
Chemung,88830,2010
Chenango,50477,2010
Clinton,82128,2010
Columbia,63096,2010
Cortland,49336,2010
Delaware,47980,2010
Dutchess,297488,2010
Erie,919040,2010
Essex,39370,2010
Franklin,51599,2010
Fulton,55531,2010
Genesee,60079,2010
Greene,49221,2010
Hamilton,4836,2010
Herkimer,64519,2010
Jefferson,116229,2010
Lewis,27087,2010
Livingston,65393,2010
Madison,73442,2010
Monroe,744344,2010
Montgomery,50219,2010
Nassau,1339532,2010
Niagara,216469,2010
Oneida,234878,2010
Onondaga,467026,2010
Ontario,107931,2010
Orange,372813,2010
Orleans,42883,2010
Oswego,122109,2010
Otsego,62259,2010
Putnam,99710,2010
Rensselaer,159429,2010
Rockland,311687,2010
St Lawrence,111944,2010
Saratoga,219607,2010
Schenectady,154727,2010
Schoharie,32749,2010
Schuyler,18343,2010
Seneca,35251,2010
Steuben,98990,2010
Suffolk,1493350,2010
Sullivan,77547,2010
Tioga,51125,2010
Tompkins,101564,2010
Ulster,182493,2010
Warren,65707,2010
Washington,63216,2010
Wayne,93772,2010
Westchester,949113,2010
Wyoming,42155,2010
Yates,25348,2010
Bronx,1392002,2011
Kings,2532645,2011
New York,1601948,2011
Queens,2247848,2011
Richmond,470467,2011
Albany,303565,2011
Allegany,48778,2011
Broome,199031,2011
Cattaraugus,79832,2011
Cayuga,79738,2011
Chautauqua,134368,2011
Chemung,88840,2011
Chenango,50118,2011
Clinton,81945,2011
Columbia,62550,2011
Cortland,49363,2011
Delaware,47559,2011
Dutchess,297999,2011
Erie,918028,2011
Essex,39181,2011
Franklin,51551,2011
Fulton,55180,2011
Genesee,59993,2011
Greene,48954,2011
Hamilton,4793,2011
Herkimer,64160,2011
Jefferson,117910,2011
Lewis,27072,2011
Livingston,65070,2011
Madison,73365,2011
Monroe,745625,2011
Montgomery,49916,2011
Nassau,1344436,2011
Niagara,216011,2011
Oneida,234287,2011
Onondaga,466960,2011
