Year,County of Program Location,Primary Substance Group,Age Group,Population,Admissions,Percent
2007,Albany,Alcohol,18 thru 24,299307,303,0.10123385019394802
2007,Albany,Alcohol,25 thru 34,299307,800,0.2672840929213149
2007,Albany,Alcohol,35 thru 44,299307,1623,0.5422526035141176
2007,Albany,Alcohol,45 thru 54,299307,1623,0.5422526035141175
2007,Albany,Alcohol,55 and Older,299307,574,0.19177633667104343
2007,Albany,Alcohol,Under 18,299307,53,0.017707571156037112
2007,Albany,All Others,18 thru 24,299307,8,0.002672840929213149
2007,Albany,All Others,25 thru 34,299307,19,0.0063479972068812285
2007,Albany,All Others,35 thru 44,299307,42,0.014032414878369032
2007,Albany,All Others,45 thru 54,299307,37,0.012361889297610812
2007,Albany,All Others,55 and Older,299307,8,0.002672840929213149
2007,Albany,All Others,Under 18,299307,5,0.001670525580758218
2007,Albany,Cocaine incl Crack,18 thru 24,299307,91,0.030403565569799573
2007,Albany,Cocaine incl Crack,25 thru 34,299307,324,0.10825005763313254
2007,Albany,Cocaine incl Crack,35 thru 44,299307,555,0.1854283394641622
2007,Albany,Cocaine incl Crack,45 thru 54,299307,267,0.08920606601248886
2007,Albany,Cocaine incl Crack,55 and Older,299307,33,0.011025468833004239
2007,Albany,Cocaine incl Crack,Under 18,299307,15,0.005011576742274654
2007,Albany,Heroin,18 thru 24,299307,200,0.06682102323032874
2007,Albany,Heroin,25 thru 34,299307,431,0.14399930506135838
2007,Albany,Heroin,35 thru 44,299307,307,0.10257027065855459
2007,Albany,Heroin,45 thru 54,299307,231,0.07717828183102968
2007,Albany,Heroin,55 and Older,299307,51,0.017039360923733825
2007,Albany,Heroin,Under 18,299307,8,0.002672840929213149
2007,Albany,Marijuana incl Hashish,18 thru 24,299307,372,0.12428710320841142
2007,Albany,Marijuana incl Hashish,25 thru 34,299307,321,0.1072477422846776
2007,Albany,Marijuana incl Hashish,35 thru 44,299307,171,0.05713197486193107
2007,Albany,Marijuana incl Hashish,45 thru 54,299307,52,0.017373466039885467
2007,Albany,Marijuana incl Hashish,55 and Older,299307,5,0.001670525580758218
2007,Albany,Marijuana incl Hashish,Under 18,299307,269,0.08987427624479213
